,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Mike Maignan,fr FRA,GK,24,28,28,"2,520",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Jonathan Ikone,fr FRA,"MF,FW",21,28,26,"2,057",22.9,3,6,2,1,1,6,0,0.13,0.26,0.39,0.09,0.35,4.4,3.7,3.8,7.5,0.19,0.17,0.36,0.16,0.33,Matches
Victor Osimhen,ng NGA,FW,20,27,25,"2,287",25.4,13,4,11,2,3,4,0,0.51,0.16,0.67,0.43,0.59,15,12.7,3.1,15.8,0.59,0.12,0.71,0.5,0.62,Matches
Jose Fonte,pt POR,DF,35,25,25,"2,205",24.5,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,1.9,1.9,0.6,2.5,0.08,0.03,0.1,0.08,0.1,Matches
Gabriel Dos Santos,br BRA,DF,21,24,23,"2,087",23.2,1,0,1,0,0,3,0,0.04,0,0.04,0.04,0.04,0.9,0.9,0.1,1,0.04,0,0.04,0.04,0.04,Matches
Z Celik,tr TUR,DF,22,23,23,"2,070",23,0,2,0,0,0,4,0,0,0.09,0.09,0,0.09,0.3,0.3,1.7,2,0.01,0.08,0.09,0.01,0.09,Matches
Benjamin Andre,fr FRA,MF,28,26,23,"2,054",22.8,2,1,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,1,1,1.1,2.1,0.04,0.05,0.09,0.04,0.09,Matches
Jonathan Bamba,fr FRA,"FW,MF",23,26,22,"1,937",21.5,1,4,0,1,3,1,0,0.05,0.19,0.23,0,0.19,5.1,2.8,2.4,5.2,0.24,0.11,0.35,0.13,0.24,Matches
Renato Sanches,pt POR,"MF,FW",21,19,16,"1,483",16.5,3,1,3,0,0,3,0,0.18,0.06,0.24,0.18,0.24,1.9,1.7,2.5,4.2,0.12,0.15,0.27,0.1,0.25,Matches
Domagoj Bradaric,hr CRO,DF,19,18,16,"1,419",15.8,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0.4,0.4,1.7,2.1,0.03,0.11,0.14,0.03,0.14,Matches
Boubakary Soumare,fr FRA,MF,20,20,15,"1,213",13.5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.5,0.5,0,0.03,0.04,0,0.04,Matches
Reinildo Mandava,mz MOZ,DF,25,16,12,"1,110",12.3,0,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0,0.03,0.04,0,0.04,Matches
Loic Remy,fr FRA,FW,32,20,11,963,10.7,7,0,7,0,0,2,0,0.65,0,0.65,0.65,0.65,4.4,4.4,0.5,5,0.42,0.05,0.46,0.42,0.46,Matches
Yusuf Yazic,tr TUR,"MF,FW",22,18,9,848,9.4,1,4,0,1,1,2,1,0.11,0.42,0.53,0,0.42,1.9,1.2,2.7,3.8,0.2,0.28,0.49,0.12,0.41,Matches
Xeka,pt POR,MF,24,17,8,709,7.9,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1.1,2.1,0.13,0.14,0.27,0.13,0.27,Matches
Tiago ,pt POR,DF,19,8,8,661,7.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Luiz Araujo,br BRA,"FW,MF",23,21,7,828,9.2,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,1.3,1.3,1.8,3.1,0.14,0.19,0.33,0.14,0.33,Matches
Jeremy Pied,fr FRA,DF,30,5,5,450,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.3,0.3,0.01,0.06,0.06,0.01,0.06,Matches
Adama Soumaoro,fr FRA,DF,27,6,4,415,4.6,1,0,1,0,0,0,0,0.22,0,0.22,0.22,0.22,0.8,0.8,0,0.8,0.17,0,0.17,0.17,0.17,Matches
Timothy Weah,us USA,MF,19,3,1,85,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0.05,0.38,0.43,0.05,0.43,Matches
Jean Onana,cm CMR,MF,19,1,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.02,0.1,0.12,0.02,0.12,Matches
Nicolais Gaitin,ar ARG,"MF,FW",31,4,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
Thiago Maia,br BRA,MF,22,3,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0,0.1,Matches
Cheikh Niasse,sn SEN,MF,19,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Abou Ouattara,bf BFA,MF,19,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
