Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Giovanni Di Lorenzo,it ITA,DF,26,36,36,"3,240",36,3,6,3,0,0,11,0,0.08,0.17,0.25,0.08,0.25,3.8,3.8,4.7,8.5,0.11,0.13,0.24,0.11,0.24,Matches
Lorenzo Insigne,it ITA,FW,29,35,33,"2,865",31.8,19,8,12,7,8,2,1,0.6,0.25,0.85,0.38,0.63,16.2,10,8.5,18.4,0.51,0.27,0.77,0.31,0.58,Matches
Piotr Zielinski,pl POL,MF,26,36,32,"2,523",28,8,10,8,0,0,2,0,0.29,0.36,0.64,0.29,0.64,5.4,5.4,5.4,10.7,0.19,0.19,0.38,0.19,0.38,Matches
Fabian Ruiz Pena,es ESP,MF,24,33,29,"2,569",28.5,3,1,3,0,0,1,0,0.11,0.04,0.14,0.11,0.14,2.6,2.6,2.8,5.5,0.09,0.1,0.19,0.09,0.19,Matches
Kostas Manolas,gr GRE,DF,29,30,27,"2,298",25.5,0,0,0,0,0,5,0,0,0,0,0,0,0.8,0.8,0.4,1.2,0.03,0.02,0.05,0.03,0.05,Matches
Kalidou Koulibaly,sn SEN,DF,29,26,25,"2,209",24.5,0,0,0,0,0,10,1,0,0,0,0,0,0.7,0.7,0.2,1,0.03,0.01,0.04,0.03,0.04,Matches
Hirving Lozano,mx MEX,FW,25,32,23,"1,965",21.8,11,3,11,0,0,6,0,0.5,0.14,0.64,0.5,0.64,7.9,7.9,4.6,12.4,0.36,0.21,0.57,0.36,0.57,Matches
Tiemoune Bakayoko,fr FRA,MF,25,32,23,"1,964",21.8,2,1,2,0,0,6,1,0.09,0.05,0.14,0.09,0.14,1.1,1.1,0.8,1.9,0.05,0.04,0.09,0.05,0.09,Matches
Alex Meret,it ITA,GK,23,22,22,"1,980",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,Matches
Matteo Politano,it ITA,FW,26,37,22,"1,908",21.2,9,4,9,0,0,3,0,0.42,0.19,0.61,0.42,0.61,5.2,5.2,3.1,8.4,0.25,0.15,0.4,0.25,0.4,Matches
Elseid Hysaj,al ALB,DF,26,24,20,"1,768",19.6,0,2,0,0,0,2,0,0,0.1,0.1,0,0.1,0.2,0.2,1.6,1.8,0.01,0.08,0.09,0.01,0.09,Matches
Diego Demme,de GER,MF,28,24,20,"1,590",17.7,2,3,2,0,0,6,0,0.11,0.17,0.28,0.11,0.28,1.4,1.4,1.6,3,0.08,0.09,0.17,0.08,0.17,Matches
Dries Mertens,be BEL,"FW,MF",33,29,18,"1,459",16.2,9,8,9,0,0,2,0,0.56,0.49,1.05,0.56,1.05,5.3,5.3,3.7,9,0.32,0.23,0.56,0.32,0.56,Matches
Mario Rui,pt POR,DF,29,27,17,"1,669",18.5,0,2,0,0,0,4,0,0,0.11,0.11,0,0.11,0.7,0.7,2,2.7,0.04,0.11,0.15,0.04,0.15,Matches
Victor Osimhen,ng NGA,FW,21,24,16,"1,573",17.5,10,3,10,0,0,4,0,0.57,0.17,0.74,0.57,0.74,10.4,10.4,2.7,13,0.59,0.15,0.75,0.59,0.75,Matches
David Ospina,co COL,GK,31,16,16,"1,440",16,0,1,0,0,0,2,0,0,0.06,0.06,0,0.06,0,0,0.1,0.1,0,0.01,0.01,0,0.01,Matches
Nikola Maksimovic,rs SRB,DF,28,17,12,"1,207",13.4,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04,Matches
Amir Rrahmani,xk KVX,DF,26,16,12,"1,094",12.2,1,0,1,0,0,2,0,0.08,0,0.08,0.08,0.08,0.6,0.6,0,0.6,0.05,0,0.05,0.05,0.05,Matches
Andrea Petagna,it ITA,FW,25,26,9,964,10.7,4,3,4,0,0,0,0,0.37,0.28,0.65,0.37,0.65,4.1,4.1,2,6.1,0.38,0.18,0.56,0.38,0.56,Matches
Elif Elmas,mk MKD,"MF,FW",20,33,3,740,8.2,2,1,2,0,0,3,0,0.24,0.12,0.36,0.24,0.36,1.8,1.8,0.7,2.5,0.22,0.08,0.3,0.22,0.3,Matches
Faouzi Ghoulam,dz ALG,"DF,FW",29,11,3,289,3.2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.03,0.12,0.14,0.03,0.14,Matches
Stanislav Lobotka,sk SVK,MF,25,15,0,154,1.7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Fernando Llorente,es ESP,"FW,MF",35,3,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.25,0.17,0.42,0.25,0.42,Matches
Kevin Malcuit,ma MAR,"MF,FW",29,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Antonio Cioffi,it ITA,FW,17,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.54,0.54,0,0.54,Matches
