Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Robert Sanchez,es ESP,GK,24-087,22,2,1,0,0,2,0,0,0,0,0,0,0,98,0,0,,Matches
Leandro Trossard,be BEL,"FW,MF",27-071,19.3,1,0,0,19,24,9,34,18,15,1,1,0,114,9,22,29,Matches
Marc Cucurella,es ESP,DF,23-206,19.3,3,0,0,17,16,2,55,33,29,0,0,0,195,29,26,52.7,Matches
Neal Maupay,fr FRA,FW,25-183,17.6,4,0,0,23,25,4,3,9,8,0,0,0,80,17,54,23.9,Matches
Joel Veltman,nl NED,DF,30-029,17.1,4,0,0,22,19,0,20,40,26,1,1,0,158,27,23,54,Matches
Adam Lallana,eng ENG,MF,33-279,16.1,4,0,0,14,23,0,8,27,21,0,0,0,165,13,12,52,Matches
Jakub Moder,pl POL,"MF,FW",22-312,15.8,1,0,0,20,9,0,22,17,25,0,0,0,128,21,35,37.5,Matches
Lewis Dunk,eng ENG,DF,30-084,15,1,0,0,7,2,0,2,27,8,0,0,0,121,46,21,68.7,Matches
Yves Bissouma,ml MLI,MF,25-167,13.7,6,0,0,16,16,0,2,29,33,0,0,0,162,13,8,61.9,Matches
Pascal GroB,de GER,"MF,DF",30-243,12.4,0,0,0,8,7,2,34,10,16,0,0,0,103,6,21,22.2,Matches
Adam Webster,eng ENG,DF,27-040,12,4,0,0,16,1,0,4,23,9,0,0,0,138,44,13,77.2,Matches
Shane Duffy,ie IRL,DF,30-043,13,5,0,0,16,5,1,0,15,6,0,0,0,108,62,19,76.5,Matches
Dan Burn,eng ENG,DF,29-280,11.4,4,0,0,18,3,0,1,33,15,0,0,0,99,41,20,67.2,Matches
Tariq Lamptey,eng ENG,"DF,FW",21-136,10.1,2,0,0,18,35,0,43,21,15,0,0,0,73,6,17,26.1,Matches
Solly March,eng ENG,"DF,FW",27-208,10,1,0,0,21,12,5,32,20,12,0,0,0,75,11,14,44,Matches
Alexis Mac Allister,ar ARG,"MF,FW",23-051,9.7,1,0,0,12,22,2,14,13,30,0,0,0,105,13,12,52,Matches
Enock Mwepu,zm ZAM,MF,24-043,7.1,1,0,0,17,9,2,4,9,10,1,1,0,65,8,26,23.5,Matches
Danny Welbeck,eng ENG,"FW,MF",31-079,5.2,0,0,0,6,4,1,1,0,3,0,0,0,19,14,12,53.8,Matches
Steven Alzate,co COL,MF,23-158,2.8,0,0,0,4,7,0,2,12,5,0,0,0,33,2,7,22.2,Matches
Aaron Connolly,ie IRL,FW,22-016,1.7,0,0,0,1,7,0,1,0,0,0,0,0,7,0,7,0,Matches
Jason Steele,eng ENG,GK,31-179,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Jeremy Sarmiento,ec ECU,FW,19-242,0.2,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,,Matches
Taylor Richards,eng ENG,"MF,FW",21-071,0.3,0,0,0,2,2,0,0,0,0,0,0,0,4,0,1,0,Matches
Jurgen Locadia,nl NED,FW,28-098,0.3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,,Matches
